Date,Group,Presenter,Person,Combination,Combination Version,Extension/Package of Term ID,Term ID,Feedback
3/8/2024,Eurac,Mohamed,Lena/Frank/Diane,MIMSHostassociated+Ancient,v0.1.0,ancient,site_type,Should be mandatory
3/8/2024,Eurac,Mohamed,Lena/Frank/Diane,MIMSHostassociated+Ancient,v0.1.0,ancient,collection_date,mandatory 1/4 votes. non-mandatory 3/4 votes
3/8/2024,Eurac,Mohamed,Lena/Frank/Diane,MIMSHostassociated+Ancient,v0.1.0,ancient,host_common_name,Should be mandatory
3/8/2024,Eurac,Mohamed,Lena/Frank/Diane,MIMSHostassociated+Ancient,v0.1.0,ancient,env_broad_scale,optional if site_type is mandatory
3/8/2024,Eurac,Mohamed,Lena/Frank/Diane,MIMSHostassociated+Ancient,v0.1.0,ancient,env_local_scale,optional if site_type is mandatory
3/8/2024,Eurac,Mohamed,Lena/Frank/Diane,MIMSHostassociated+Ancient,v0.1.0,ancient,source_mat_id,"Should be mandatory. New term proposal: ""collection_id"""
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,collection_date,You need to specify in the description that you refer to the sampling of the specific sample in the laboratory as soon as the laboratory workflow starts; or if not you should be more specific; e.g. a mummy was recovered in 1960; in 2015 a bone piece was recovered from the mummy to perform aDNA analysis. The sampling of this bone for aDNA analysis was performed in the laboratory in 2019. What should we indicate? 
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,env_broad_scale,Make it optional since very often we do not have this information in aDNA field (eg in museum collections)
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,env_local_scale,Make it optional since very often we do not have this information in aDNA field (eg in museum collections)
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,env_medium,Make it optional since very often we do not have this information in aDNA field (eg in museum collections)
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,sample_name ,write clearer definintion. Legend: is the ID you use in your DNA lab
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,source_mat_id,this should be the ID used in the publication associated with the sample; this should be made mandatory 
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,ethical_authority,should be mandatory
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,ethical_date,should be mandatory
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,ethical_id,should be mandatory
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,storage_conditions,More specific options are needed; What is stored? The individual? The sampled bone?  The suggestions à the individual in general; should be better specified in the description; multiple options for 1 sample 
3/8/2024,Eurac,Mohamed,Stefania/Christina/Alexandra,MIMSHostassociated+Ancient,v0.1.0,ancient,recovery_date,"in the description you specify a time stamp, but in most of the excavations there are time ranges "
