Date       ,Group             ,Presenter           ,Person                                                 ,Combination                           ,Combination Version ,Extension/Package of Term ID ,Term ID                                    ,Feedback                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,tax_id                                     ,"It would be important to note that a tax_id specifically for metagenomes exist (in cases of mixed organism samples, which is pretty much all ancient DNA samples). There was some confusion for ancient pathogen samples which tax_id to use for tax_id vs hostid vs ‘genome' tax ID (as in: sample tax_id would be metagenome, host id would be human, but then ‘captured' or ‘enriched' tax ID would be …?). There was some confusion for ancient pathogen samples which tax_id to use for tax_id vs hostid vs ‘genome' tax ID (as in: sample tax_id would be metagenome, host id would be human, but then ‘captured' or ‘enriched' tax ID would be …?)"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,isolation and growth condition             ,Not at all applicable to ancient DNA…
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,reference for biomaterial                  ,"Clarity what this would refer to if first publication of material, would this be your own paper (when publishing the genome), or e.g. archaeological report? How to submit after (JFY pointed out ENA metadata can be updated after submission)"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,sample volume or weight for DNA extraction ,"Needs to be better guidance for ancient samples - is this the entire bone or tooth? Just the powder (JFY post-meeting note: guidance says to see Sample Size (MIXS:0000001), but not present on list…?)"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,sample capture status                      ,"This was very confusing for many of the participants: capture has a different terminology in aDNA - this will require very clear guidance, or even hiding on MInAS interfaces"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,genetic modification                       ,For MInAS specific guidance should be hidden
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,known pathogenicity                        ,"If stick with MIGS Bacteria, MInAS guidance should hide as no way of inferring this from dead organisms"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,MIGS-Ba                      ,assembly_*                                 ,Doesn't apply to raw reads… see general feedback of switching to MIGS Bacteria to MIMS
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Ancient                      ,site type                                  ,"Was too sediment specific, whereas it could also apply to archaeological sites."
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Ancient                      ,sample age                                 ,"Definition was confusing with ‘or when sample was exposed to the surface', should be removed and definition further refined Some were unhappy that other standardised(!) radiocarbon terms were not available e.g. marine reservoir effect, calibration curve used. There was discussion whether this should be fixed or in a free text field"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Ancient                      ,date of ethical approval date              ,Typo in the term name - drop one of the ‘dates' (maybe just ethical approval date)
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Ancient                      ,conditions of sample storage               ,"There were concerns that a single term could not cover all conditions. Further definition clarification that multiple conditions may have occurred over the lifetime of the sample (as it is a free text field anyway), or simply just ‘variable' would be sufficient. Clarification as to what sample storage this referred to was also requested (e.g. actual storage place, vs museum conditions, vs fresh from excavation)"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Ancient                      ,library concentration                      ,"Should be moved to main checklists. Questions whether this information was useful for pathogen studies, should be optional (JFY originally specified mandatory for microbiome/metagenomic studies for contamination estimation purposes). Point of measurement needs to be defined better (after extraction, library build etc.), as well as allow more flexibility depending on how people measure this."
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Ancient                      ,alternative sample IDs                     ,"It was unclear if this included individual level IDs (e.g. skeleton vs. specific tooth). Definition should be improved to clarify it can be any level of ID used in publications that includes/covers that particular sample. Suggestion to rename ‘sample' with ‘material'."
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Ancient                      ,context name where location was collected  ,"Unclear title and definition. Title doesn't make sense, suggestion to drop ‘context'. Definition is too specific when providing a single example of ‘owning institution' (e.g. what happens if it comes via intermediate?) . JFY suggested re-specifying to the institution it was obtained from (i.e., ultimately set up a paper trail)"
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Host-associated              ,host sex                                   ,Unhappy (unethical?) of mixing of biological sex and gender within the same field. Should split into two
2023-07-19 ,MPI-EVA Pathogens ,James               ,xxx                                                    ,Host-associatedMIGSBacteria + Ancient ,0.01                ,Host-associated              ,host disease status                        ,MInAS guidance could be to prefix with ‘possible' or ‘suspected' any descriptions?
2024-04-08 ,ACAD              ,James Fellows Yates ,Yassine Souilmi/Robbi Davidson                         ,MIMS+Ancient                          ,0.1.0               ,MIMS                         ,lib_screen                                 ,"This term for specifying whether the data has been captured/enriched should be mandatory as a boolean, and then a new term specifying which bait set was used (maybe with SKU for commerical kit and  DOI for custom)"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Robbi Davidson                                         ,MIMS+Ancient                          ,0.1.0               ,MIMS                         ,lib_screen                                 ,It really isn't clear by the term ID what this refers too                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Yassine Souilmi                                        ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,cultural_era                               ,"Be careful of this, difficult to define. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Yassine Souilmi                                        ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,lat_lon                                    ,Need to give specific guidance/update the descritpion to make it clear that less-precise coordinates are OK if exact location is not known or protected                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Yassine Souilmi                                        ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,ethical_id                                 ,"If there isn't a specific ID, maybe a DOI pointing to a scan of the letter - can be deposited on Zenodo or OSF or something"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Yassine Souilmi                                        ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,geo_loc_name                               ,"Can alternative names be used, e.g. less colonialist New Zealand vs Aotearoa (JFY: yes, GAZ ontology seems to have)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Robbi Davidson                                         ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,ethical_id                                 ,"Can multiple be given? Should we distinguish with separate terms between collection/academic ethic permission versus social-cultural ethics (JFY: should be possible with occurance, could occur if permissions from ancestor group, collection, human ethical board etc)"                                                                                                                                                                                                                                                                                                                                                                                 ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Vilma Perez                                            ,MimarksS                              ,0.1.0               ,NA                           ,target_gene                                ,"Can gene be specific in metabardocding (JFY: yes, with this term - wasn't presented in feedback session)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Robbi Davidson/Vilma Perez                             ,MIMS+Ancient                          ,0.1.0               ,MIMS                         ,seq_*                                      ,All sequencing terms should be madatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Bastien Llamas                                         ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,lib_polymerase_*                           ,All polymerase naming terms should be mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Bastien Llamas/Yassine Souilmi/Robbi Davidson/Everyone ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,env_*_scale                                ,"All these terms were very confusing, how to define/use when unknown or unsure? Can you search ontology during upload/submission. Example: looking at ontology, do I pick 'alpine' or 'mountane'"                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Bastien Llamas                                         ,MIMS+Ancient                          ,0.1.0               ,MIMS                         ,geo_loc_name                               ,Guidance URL in description 404s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Bastien Llamas                                         ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,sample_age                                 ,"Some form of date, whether this or cultural era or something must be mandatory - any ancient DNA data requires some indication of age"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Bastien Llamas                                         ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,collection_context_name                    ,"Should be set to multiple occurences not 1, in some cases not clear exactly who the owner is"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Robbi Davidson/Bastien Llamas                          ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,lat_lon                                    ,"Way of indicating how precise? Maybe include distance to location (JFY: I think other than number of decimals, no clear way of requiring this particularly for very old museum deposited specimens)"                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-04-08 ,ACAD              ,James Fellows Yates ,Vilma Perez                                            ,MIMS+Ancient                          ,0.1.0               ,ancient                      ,preservational_treatment                   ,"Should be mandatory (or environmental mandatory for sediment), example preservational treatment is storing sample in ethanol for 4oC is common in sedaDNA"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,collection_date                            ,You need to specify in the description that you refer to the sampling of the specific sample in the laboratory as soon as the laboratory workflow starts; or if not you should be more specific; e.g. a mummy was recovered in 1960; in 2015 a bone piece was recovered from the mummy to perform aDNA analysis. The sampling of this bone for aDNA analysis was performed in the laboratory in 2019. What should we indicate?                                                                                                                                                                                                                              ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,env_broad_scale                            ,Make it optional since very often we do not have this information in aDNA field (eg in museum collections)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,env_local_scale                            ,Make it optional since very often we do not have this information in aDNA field (eg in museum collections)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,env_medium                                 ,Make it optional since very often we do not have this information in aDNA field (eg in museum collections)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,      ,          ,       ,            ,                    ,                             ,        ,
