MInAS Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
James,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,All,*_taxid,Need better guidance where to put in each time - some people might be lazy,"Can ignore, up to implementer (how to search NCBI)"
James,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach & Jonas Niemann,MimsHostAssociatedAncient,Ancient,biocultural_label,"the missing data values are not relevant/appropriate. i.e. They might be dismissive/offensive to the communities. Add specific instructions of what to put for missing data values - more specific missing data terms/values. E.g. if no biocultural label for the specimen/sample, then say “For human samples with no biocultural label, put ‘no biocultural label’”).",
James,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Viridiana Villa Islas,MimsHostAssociatedAncient,Ancient,biocultural_label,not sure what to put. Would you put population names?,
James,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach & Jonas Niemann,MimsHostAssociatedAncient,Ancient,biocultural_label,"Drop-down menus for biocultural_label, for example, to make it easier?",
James,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,collection_context_name,"The definition in the form is not clear and it can even be misleading. We believe that there should be clear and separated fields for the archaeological contexts of the individuals (burial sites, populations, lifestyles, etc.) and for the storing places (Museum collections, processing labs, research institutions, etc). ",
James,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Kathrin Nägele,MimsHumanAssociatedAncient,Ancient,collection_context_name," ‘owner’ is not enough, there are multiple potential responsible institutions that should be listed: curation institution, permit institution etc.",
James,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Eleni Seferidou,MimsHumanAssociatedAncient,Ancient,collection_context_name,Need  to have a field where a sample is stored and it's repository ID,
James,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Marta Montagi,MimsHostAssociatdAncient,Ancient,collection_context_name,"It’s unclear whether this refers to the excavation site, the storage location, or the institution holding the sample.",
James,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Ancient,collection_context_name,"The context location (sample ownership/location/archive) can be a complex issue, especially in some countries. For instance in France, the Ministry of Culture provides you with the permits to excavate a site, to import and export bones etc. However, the material we use oftentimes come from the archaeologists' or the anthropologist's own collection (not an 'official' collection/repository per se). Having such information recorded on an open-access public repository may lead to legal repercussions for these sample providers later down the line. Listing a name could be an option but we would then be faced with the issue of 'naming and shaming'. A solution here would be to put the affiliation of the sample provider. ",
James,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Olivia Cheronet,MimsHostAssociatdAncient,Ancient,collection_context_name,We need a column specific to the archaeological site,
James,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,collection_context_name," Confusing column name (might be an error?), clarify if we can add the collection ID here",
James,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,All participants,MimsHostAssociatedAncient,Ancient,cultural_era,Shouldn't be mandatory. Or make it contingent on sample age.,
James,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Viridiana Villa Islas,MimsHostAssociatedAncient,Ancient,cultural_era,"There could be some entries that are not correct, and sample age would be more trustworthy.",
James,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Jonas Niemann,MimsHostAssociatedAncient,Ancient,cultural_era,"cultural era could be tricky, because the ancestry of the individual could be different to the era in which it was found. Cultures can overlap.",
James,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Kathrin Nägele,MimsHumanAssociatedAncient,Ancient,cultural_era,"there are plethora of terms, and chronontology is very Europe focused",
James,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,cultural_era,"is very human-focused, and maybe wouldn’t apply to e.g. animal remains",
James,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan/Eleni/Ainash,MimsHumanAssociatedAncient,Ancient,cultural_era,Should be entirely optional,
James,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Ancient,damage_treatment,"The terminology 'full UDG' or 'partial UDG' is too closely related to specific protocols. Hence, if we want to be precise, and given the importance of knowing if damage needs to be trimmed or not, one solution could be to give the DOI of the USER/UDG treatment, though this is hard to maintain over time. Keeping it simple with 'damage has been removed' is also problematic as you would need to provide more information for future studies re-using your data, such as for instance if there has been methylation detection. A suggestion would be to split this entry into two: 'damage_state' vs 'specific_treatment_type'.",
James,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient; applied to all,Ancient,damage_treatment,"The definition of partial user treatment may be ambiguous, given that you could tune USER units + time of exposure",
James,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Thiseas Lamnidis,MimsHumanAssociatedAncient,Ancient,damage_treatment,"Check phrasing, USER might be a specific protocol",
James,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Viridiana Villa Islas,MimsHostAssociatedAncient,Ancient,damage_treatment,Drop-down menu please,
James,2025-01-28,University of Tartu,Meriam Guellil,Multiple,Just Ancient,Ancient,damage_treatment,Enrichment is not really suitable here. This could be both UDG and enriched.,
Meriam,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,MimsHostAssociatedAncient,Ancient,ethical_authority,"Do we here mean 'ethical' or 'legal'? For instance, a permit can be delivered but the study may not have been approved by an ethical committee. An alternative to 'Authority' could be 'Permit provider' or 'Providing authority'. This needs to be specified in the description (i.e. legal and ethical 'authorities' or 'permit provider'). ",
Meriam,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,ethical_authority,"The ethical authority section feels like a catch-all, that should be separated into multiple columns. For instance, where the sample was acquired (e.g. host institution or museum, affiliations of lead researcher on an expedition), where the sample was processed (e.g. ancient DNA lab), etc.",
Meriam,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,ethical_authority,"This field is also misleading. The ethical procedures and the regulations that must be respected are two completely different aspects. Respecting regulations and getting permits from pertinent organisms are mandatory steps to be able to work with archaeological, cultural, etc. material, and do not necessarily involve any ethical assessment. Ethics committees on the other hand are specifically dedicated to assess the ethical aspects of research projects and they can confer advice, which may or may not be mandatory for carrying a research project depending on the country and context. Finally, export permits are another instances, that may be independent of the authorisation of local/regulatory authorities, and from the ethical assessment committees.",
Meriam,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,ethical_authority,Specify speciifcally as ethics in terms of e.g. indigenous groups (moral) vs a 'permit authority' (legal) (see new terms for permit authorty proposal),
Meriam,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Viridiana Villa Islas,MimsHostAssociatedAncient,Ancient,ethical_authority,should be mandatory. Includes sampling permit authority?,
Meriam,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Ainash Childebeyeva ,MimsHumanAssociatedAncient,Ancient,ethical_date,Description should say permission 'granted' not 'awarded',
