Added,Valid proposal?,Justification,Date,Group,Presenter,Person,Proposed Combination,Proposed Extension,Proposed Term ID,Description,Comment
site_name,TRUE,,2025-03-13,London1,Victor Yan Kin Lee,Victor Yan Kin Lee,MimsHumanAssociatedAncient,Ancient,archaeological site,"Site name including historical site names, alternative reporting conventions, names according to the local script, and heritage board identification numbers",
data_filt_applied,TRUE,,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Marta Pla-Diaz,MimsHumanAssociatedAncient,Ancient,data filtering applied,when for example (I guess for GDPR reasons) the data is published only after removing host (human) DNA,
geological_epoch,TRUE,,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,geological_era,Geological era in which the organism lived,not needed if cultural_era if available
REMOVED,TRUE,,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,library_conc_method,"This column reports the quantification method used for calculating the library concentration as precision can be different. Examples include 'Qubit', 'Tapestation'.",
library_name,TRUE,Call library_name,2025-06-19,HAAM,Thiseas,Xavier Roca-Rada,MimsHumanAssociatedAncient,Ancient,Library_ID,A list-column containing the Library IDs from which the associated data was generated.,
,FALSE,Covereed by host_age,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,age_of_death,Estimate of age at death of the organism where the nucleic acids are retrieved from,Already covered by existing host_age and _host_life_stage
,FALSE,Out of scope for MIxS,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Alberto Carmagnini,MimsHostAssociatedAncient,Ancient,animal_specific,a separate template for animals or one template that can be customised in the host that you want - to filter out the information that are not relevant to the samples you are filling the data for. ,
,FALSE,Covered by relevant_electronic)_srouce,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient,Ancient,associated_data_link,"link to a site where there are uploaded pictures or shapes for geometric morphometrics, 3d scans informing on the sample",
,FALSE,What? DataHarmonizer specific?,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHumanAssociatedAncient,Ancient,Contact Info and Instructions,this tab is succinctly explaining the different types of fields and information that are included in the metadata.,
,FALSE,Maybe covered by our damage_treatment updates,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,damage state,This would be entry 1/2 which would replace 'damage treatment type'. This would inform on whether or not damage is present or has been removed,
,FALSE,Can be filled in in geo_loc (improve docs),2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Vanessa Villalba & Laura Claudia Verdes,MimsHumanAssociatedAncient; applied to all,Ancient,geographic_location,information on political entity (intermediate geographical location between country and site),
,FALSE,"First covered by sample_alt_ids (will add to examples), age covered by host_age, others are analysis",2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maarten Larmuseau,MimsHumanAssociatedAncient,Ancient,human_identifier,Presumed name/identification of the human skeleton / How certain is the identification? Is there any validation / How old was the individual when he died / genetic relatedness with other individuals,
,FALSE,Addressed by implementation and linking to exisitng data (re-use ERR codes),2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maite Rivollat,MimsHumanAssociatedAncient; applied to all,Ancient,individual_merge,merge two samples belonging to the same individual - from same or different labs / include here alsodifferent libraries and/or protocols for one individual ,
,FALSE,"You can be as precise as you want with existing lat:lon column, and people don't regularly take that specific stuff",2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,lat_long_info,"We need a way to designate confidence in the location, and how the lat long coordinates were derived. A lot of material does not have specific locality information, so this will be a guess based on the lowest level of precision.",
,FALSE,Up to implementer: already covered by re-use of BioSample IDs,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Melanie Pruvost,MimsHumanAssociatedAncient; applied to all,Ancient,metadata_link,"Is there a way to link different metadata base to the same individual (i.e., ancient DNA, Calculus, pathogen study on the same individual)?",
,FALSE,"Covered by existing, added documentation",2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHostAssociatedAncient,Ancient,new_species,"Any extinct species, or one that is newly described",
,FALSE,We couldn't find cases where this information would be useful for data analysis which is our current target purpose,2025-06-17,Alpine-Mediterranean,Martyna/Meriam,Martyna Molak,MimsHumanAssociatedAncient,Ancient,number of indexing cycles,"since in the non-ancient checklist I can't see this field and the ancient extension has two fields or post-indexing reamplifications, I think it would only make sense to also have a field for number of indexing PCR cycles",
,FALSE,Updated ethical_permissions term has been made more generic to allow any/all,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,permit_authority,Legal entities who have provided permission for scientific analysis of samples,
,FALSE,"Not stable enough, you can always contact the authors to find the current location of the samples/extracts/libraries",2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Eleni Seferidou,MimsHumanAssociatedAncient; applied to all,Ancient,produced_data_storage,"Information on where the project's output is stored (i.e. samples, extracts, libraries etc)",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,raw_radiocarbon_ages,Input the raw radiocarbon ages for possibility of recalibration,
,FALSE,"Request unclear, sort of 'subjective' depending on platform etc.",2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,read_length,,
,FALSE,"Not stable enough, exists already in Mims",2025-01-28,University of Tartu,Meriam Guellil,Toni De Dios,,Ancient,samp_store_loc,"He would like a secondary column for the location the sample was stored in for the longest time and not just at the moment. Or at least expand the examples, because he thinks it's misleading.",
,FALSE,Not from ancient (Mims only),2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,samp_store_loc_dur,"Duration of the sample storage location', to be associated with 'samp_store_loc'. This essentially keeps track of when a sample was stored in a specific freezer, drawer etc... There can be multiple storage locations for a sample over time, which would require different durations/dates.",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__radio_14Cdate, to be changed to individuals__raw_radio_14Cdate: The raw C14 value sent by the dating company, raw, untouched, uncalibrated. In other words, the value given by the C14-dating company. ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__radio_14Cerror, to be changed to individuals__raw_radio_14Cerror: 
The error of the raw C14 value sent by the dating company, raw, untouched, uncalibrated.  ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__radio_14Clabcode: 
The code of the measurement provided by the dating company (i.e., this is a unique code, with the following format : AA-90288 / UGA-8660 / D-AMS 030191 / CIRAM-5979).  ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: individuals__date_median to be renamed as individuals__calBP_C14_median_date: 
This is the calibrated median probability calculated by a calibration software on the raw C14 date of the individual. This value can be used in the analyses, and must be the same value that is included in the column individuals__date.  ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: Contextual dates of sites based of some individuals: 
– sites__radio_14C_date, changed to sites__radio_raw_average_14C_date: 
Average of all ABSOLUTE (Raw) and UNCALIBRATED dates available for that site that can be confidently associated with any other individual of the same site. Only archaeologists can provide the information of when this is possible to do. ATTENTION: is it not always the case that individuals of the same sites are synchronous. Very often archaeological sites are diachronic or chronologically asynchronous. ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,new tabs proposed for dating: sites__radio_14C_error to be renamed as sites__radio_raw_average_14C_error ,
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: sites__calBP14C_median_date: 
This is the calibrated median probability calculated by a calibration software on the average of the uncalibrated C14 dates of the site. This value can be used in the analyses when there is no direct date of the individual (i.e., no value in individuals__calBP_C14_median_date), and in such cases, it must be the same value that is included in the column individuals__date. ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: – individuals__contextual_date: 
When there is not direct date for the individual, nor association date for the site, this column will have any information of the individual’s date that is not derived from a direct or indirect radio C14 date (e.g., date mentioned in a historical record, archaeological information, dates inferred from objects, dates mentioned in a crypt, or just a very vast category, such as, pre-contact, Holocene, etc.).  ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: – individuals__date: 
This the column that contains the best information we can give from an individuals date (In order of relevance, this columns will include: individuals__calBP_C14_median_date -> sites__calBP14C_median_date –> individuals__contextual_date) ",
,FALSE,Already covered by C14 extension,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,sample_age,"new tabs proposed for dating: – individuals__datation_method: 
This categoy is defined by precise, fixed categories (Individual_C14, Site_C14, Contextual, Historical record, objects, etc.) ",
,FALSE,Covered by `permit_authority` and `curating institution`,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Carles Lalueza,MimsHumanAssociatedAncient; applied to all,Ancient,Sample_ownership,"important information to any study, to prevent potential legal issues and conflicts (it could be State, government, City Council, the Museum itself, etc). ",
,FALSE,,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient,Ancient,sample_statistics,"informative statistics (i.e., endogenous DNA) regarding the sample quality",
