MInAS_Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
Team Poodle,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,biocultural_label,Should be recommended,
MG/MM,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,capture_probe_desc,Very technical and probably not needed as can be looked up in the original paper.,
MG/MM,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,capture_probe_taxid,Very technical and probably not needed as can be looked up in the original paper.,
Team Dirt,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,chrono_age_protocol,Should be required,"Can't implement - sometimes just no info, recommended sufficient"
Team Dirt,2026-01-27,South America 2,Ophélie Lebrasseur,Federico Sánchez Quinto & Bárbara Moguel,mixs-minas/Ancient,ancient,chrono_age_protocol,"Is there any possibility of placing this term prior to “sample age range oldest/youngest limit/unit”? The terminology is not directly intuitive, and there was some confusion about what was meant by ‘range’. Placing the “sample age inference methods” prior to the range fields may help clarify that.",TODO during combination updates
Team Dirt,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,ancient,chrono_age_remarks,should be required or at least recommended.,Already recommended
Team Dirt,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,ancient,chrono_age_remarks,"include a certainty level (even required?), e.g.: “Based on well-defined grave goods”, “Based on some grave goods”, “Based on other features from the same site”",Clarifyied description
Team Dirt,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,chrono_age_remarks,"Shoule be required. In cases of radiocarbon dating, it should also be encouraged to add the lab code and the date at which the radiocarbon dating analysis was undertaken.",Already in examples
Team Poodle,2025-10-30,EastEuropeBaltics,Martyna and Janis,Anna Juras,MimsHumanAssociatedAncient,ancient,context_retrieval_date,often unknown or only the year is available.,
Team Poodle,2025-12-17,South America 1,Ophélie Lebrasseur,Whole group,mixs-minas/Ancient,ancient,context_retrieval_date,They suggested adding a range if the context was from a rescue site.,
