Done,Address,Date,Group,Presenter,Person,Proposed Combination,Proposed Extension,Proposed Term ID,Description,Comment
TRUE,yes,2025-10-14,seda2,James and Eleni,Andreas Altenburger,MimsSoilAncient;MimsSedimentAncient,???,??? (Core_id),"Core ID, name, length → took a long time to identify ‘depth’ as the relevant term → rename to column depth?",New term
TRUE,no,30.10.2025,EastEuropeBaltics,,Danijela Popovic,Ancient,,adapter removal,"required, yes/no if adapters were removed or not",Up to implementers; adapter sequence reporting already supported
TRUE,no,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,age_of_death,Estimate of age at death of the organism where the nucleic acids are retrieved from,Add to FAQ; Already covered by existing host_age and _host_life_stage
TRUE,no,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,ancient DNA preservation field,"to indicate that initial submitter had evidence or not of preservation, maybe just boolean |. yes or no perhaps?",Too subjective
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Alberto Carmagnini,MimsHostAssociatedAncient,Ancient,animal_specific,a separate template for animals or one template that can be customised in the host that you want - to filter out the information that are not relevant to the samples you are filling the data for. ,Up to implementers
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient,Ancient,associated_data_link,"link to a site where there are uploaded pictures or shapes for geometric morphometrics, 3d scans informing on the sample",Add to FAQ;: use associatd_resource https://genomicsstandardsconsortium.github.io/mixs/0000091/
TRUE,no,2025-10-14,seda2,James&Eleni,Madeline Slimp,MimsSoilAncient;MimsSedimentAncient,ancient,associated_publication,associated publication (chicken and egg problem),Up to implementer
TRUE,yes,2025-10-14,seda2,James&Eleni,Andreas Altenburger,MimsSoilAncient;MimsSedimentAncient,ancient,column_depth field,Explicit column_depth field,New term: core_start_depth and relative_depth (from core start)
TRUE,no,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHumanAssociatedAncient,Ancient,Contact Info and Instructions,this tab is succinctly explaining the different types of fields and information that are included in the metadata.,"Legal issues, contact information changes, up to implementer to record who is submitting metadat"
TRUE,no,30.10.2025,EastEuropeBaltics,,Anna Juras,,,Contamination controls,e.g. mapDamage results; should be recommended/required.,Analysis
TRUE,no,2025-12-17,South America 1,Ophélie Lebrasseur,Josefina Motti + Valeria Arencibia + whole group,mixs-minas/Ancient,,"Context_sediment and ""Permit_authority_sediments""","If the material is sediments, include an additional field specifying the context from which the sediments were sampled—for example, human graves or stratigraphic units. Also, provide the relevant permitting authority (permits may differ based on context)","Already covered, by existing terms"
TRUE,yes,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,control_batch,"Since the table allows entering negative controls (‘negative control status’), there needs to be a way to show which samples are covered by a given negative control. One option could be a ‘Control Batch’ field to specify which samples are processed together with a given negative control (thats what I have in my project tables)","Good idea, might be tricky"
TRUE,no,2026-01-27,South America 2,Ophélie Lebrasseur,Federico Sánchez Quinto & Bárbara Moguel,mixs-minas/Ancient,,coordinates,Term should be recommended as this can greatly facilitate and benefit future studies using the material and/or help identify sample distribution across studies.,Exists: `lat_lon`
TRUE,no,2025-12-17,South America 1,Ophélie Lebrasseur,Josefina Motti + whole group,mixs-minas/Ancient,,Coordinates,"Coordinates of the site or sample location, to be kept quite general (e.g. within a 20km radius or the nearest town) to avoid possibility of site looting. For instance, if the site features human burials, these are easily observable at ground level. So it would be better to keep the coordinates relatively broad but that are still representative of the ambient zone/area. Could also offer an option stating coordinates are not given due to sensitivity of the data.",Add to FAQ;: up to submitter how precise you can be with your coordinates; Exists: `lat_lon`
TRUE,no,2026-02-02,North America,Eleni Seferidou and Deon de Jager,IGB (Ripan Malhi’ group),MimsHumanAssociatedAncient,,cultural context,"to provide context on how the sample was acquired i.e., colonial expedition, an important cultural object for the community that it was collected","Too open ended, can't make it systematic - important thing is indicate IS there any potential problem in terms of ethics/permissions; which should already be covered by bioculturla_labels and permit*"
TRUE,no,2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,damage state,This would be entry 1/2 which would replace 'damage treatment type'. This would inform on whether or not damage is present or has been removed,Hard to encode the maybe required 'nuance' for people who want more detail
TRUE,no,2026-02-02,North America,Eleni Seferidou and Deon de Jager,IGB (Ripan Malhi’ group),MimsHumanAssociatedAncient,,Damage treatment process,"would it be helpful to be able to provide more information because the listed options are not always clear or homogeneous across labs. An optional field like Damage treatment description, a free text field describing the process i.e., USER for 3 h",Moe details: see protocol (`sop`);Hard to encode the maybe required 'nuance' for people who want more detail
TRUE,no,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,???,Data Analysis,included in the Methods section of one’s publication,
TRUE,yes,2025-10-14,seda2,James&Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,ancient,sampled_layer,The sampled layer (for archaeological sites) → Sample Level,
TRUE,no,2025-10-14,seda2,James&Eleni,Laura Gedminiene,MimsSoilAncient;MimsSedimentAncient,ancient,Env_past_temparture,reconstructed temperature of past,Too difficult to infer
TRUE,no,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,???,general,"Multiple initiates that make the data transferable across publications - can be overwhelming. Make it comparable with other schemas i.e. poseidon, so that data is transferable across tables? ",Not term related
TRUE,no,2026-02-02,North America,Eleni Seferidou and Deon de Jager,Ainash Childebayeva’ group,MimsHumanAssociatedAncient,???,general,The schema is different if you choose tooth or bone and most projects use both. Make it more clear in the decision tree that you can choose human and then add multiple sources,Not term related
TRUE,no,2025-10-14,seda2,James and Eleni,Merlin Szymanski,MimsSoilAncient;MimsSedimentAncient,???,general,"Make scope of the table is not clear from the beginning (samples? Or runs? Or assemblies?), so make clearer in the presentation (what each line corresponds to) | - the hierarchy is not always clear → Do fields refer the region, the site, the layer, the sample or the DNA extract/library?",Not term related
