name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
biocultural_label	biocultural label	MIXS:999999927		Relevant biocultural labels defined by the local contexts project (https://localcontexts.org/label/bc-provenance/) that describe in what ways this data can be reused, as permitted by any associated native or indigenous peoples or communities.	{'value': 'BC MC;BC CV'}	ethics	ethics	True		BioCulturalLabelEnum	True	False			Relevant biocultural label from https://localcontexts.org/labels/biocultural-labels/	
capture_probe_desc	enrichment probe design description	MIXS:999999931		Description of target enrichment probe designs used (e.g., species included, sequences, type, company). This can include custom kits (please provide a general description and DOI if available) or commercially available kit (provide ID and company).	{'value': 'Commercial RNA baits kit ABC001-EC from company TE-Science, purchased 2020'}	sequencing	library|enrichment	True		string	False	False	{text}		Description of probe set used for target enrichment/library selection (a.k.a. capture)	
capture_probe_taxid	genomic capture probe taxonomic IDs	MIXS:999999932		NCBI taxon ID(s) of all organisms included in the baits of a whole organelle or whole genome-level capture panel. There should be an (ideally) species level taxonomic ID entry for each organism that had sequences included in the design. If whole genera were targeted, you can instead use a single genus level taxonomic ID or that of any relevant higher taxonomic unit.	{'value': '9789'}	sequencing	sequencing|library|enrichment|capture	True		integer	False	False			Taxonomic IDs corresponding to organism(s) included in target enrichment (a.k.a. capture) probe design	
chrono_age_protocol	Chronometric Age Protocol	MIXS:999999922		A description of or reference to the methods used to determine the chrono:ChronometricAge.	{'value': 'historical records'}	investigation		True		ChronoAgeProtocolEnum	True	False				
chrono_age_remarks	Chronometric Age Remarks	MIXS:999999923		Notes or comments about the chrono:ChronometricAge.	{'value': 'radiocarbon age ID: OxA-12345'}	investigation		False		string	True	False				
context_retrieval_date	date of retrieval from depositional context	MIXS:9999999916		Date of excavation or retrieval from burial or depositional context, if known. In case no exact time is available, the date can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant. If excavations were done during a longer period, report its midpoint at a month or year level.	{'value': '2023'}	nucleic acid sequence source				datetime	True	False				year
cultural_era	cultural era or period	MIXS:999999902		The cultural era approximating to the period in which the archaeological remains existed in. Where possible use terms from ontologies such as Chronontology (https://chronontology.dainst.org/) or PeriodO (https://perio.do/en/).	{'value': 'Not collected'}	nucleic acid sequence source	ancient|age	False		string	False	False	{termLabel} [{termID}]|{text}		chronotology or PeriodO term; text	
damage_treatment	Damage treatment type	MIXS:999999903		Indication of whether characteristic ancient DNA damage has been  altered or removed from a DNA extract in a laboratory	{'value': 'partial-removal'}	sequencing	ancient	True		DamageTreatmentEnum	True	True			enumeration	
data_filt_applied	Data filtering applied	MIXS:999999933		Specify whether associated data was filtered prior to upload, such as host reads removal.	{'value': 'yes'}	sequencing	data analysis	False		boolean	True	False			Whether associated data was filtered	
desc_read_state	description of read state	MIXS:999999933		Description of the state of the reads in the sequencing data file. Describe any in silico processing or modification of the sequencing reads away from the original state as received from the sequencer. This should include details such as adapter-, barcode-, and/or quality- trimming, or any filtering such as for read length or of off-target reads.	{'value': 'Demultiplexed with bcl2fastq, inline barcodes removed, and reads quality filtered with fastp (v1.0.0).'}	sequencing	data analysis|data	False		string	True	False			description of any modifications to data away from original raw files	
earliest_chrono_age	Earliest Chronometric Age	MIXS:999999920		The maximum/earliest/oldest possible age of a specimen as determined by a dating method.	{'value': '1900'}	nucleic acid sequence source				integer	True	True			age value corresponding to unit	
earliest_chrono_sys	Earliest Chronometric Age Reference System	MIXS:999999921		The reference system associated with the chrono:earliest_chrono_age.	{'value': 'kya'}	investigation		True		ChronoAgeSysEnum	True	True				
