name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
collection_context_name	context name where location was collected	MIXS:999999901		Name of where sample originated and is typically stored. Typically will be 'owning institution'.	{'value': 'Natural History London'}	nucleic acid sequence source	storage	True		string	True	False			name of institution	
cultural_era	cultural era or period	MIXS:999999902		The cultural era approximating the period in which the individual  lived from https://chronontology.dainst.org/ or PeriodO.  Specify when no value for 'sample_age' is present, or additionally  to it.	{'value': 'Copper Age [Chronotology: NW6hofAScJSE]'}	nucleic acid sequence source	ancient|age	False		string	True	False	{termLabel} [{termID}]|{text}		chronotology or PeriodO term; text	
damage_treatment	Damage treatment type	MIXS:999999903		Indication of whether characteristic ancient DNA damage has been  enzymatically or chemically removed in a laboratory	{'value': 'partial-udg'}	sequencing	ancient	True		DamageTreatmentEnum		True	{float}-{float} {unit}		enumeration	
dna_extraction_date	date of extraction of nucleic acids from sample	MIXS:9999999904		The date when the nucleic acids was extracted from the sample  material. In case no exact time is available, the date can be  right truncated i.e. all of these are valid times:  2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10;  2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	{'value': '2023-12-01'}	nucleic acid sequence source				datetime	True	False				
ethical_authority	ethical authority	MIXS:999999905		Name of the authority or institution that awarded sampling and  analysis (e.g. human remains) and/or export permission  (e.g. animal remains)	{'value': 'Federal Foreign Office (Germany)'}	investigation	ethics|location	True		string	True	False			name of authority providing ethical approval	
ethical_date	date of ethical approval date	MIXS:9999999906		Date of award of ethical/export permission. The date can be right truncated  i.e. all of these are valid times: 2008-01-23; 2008-01; 2008;  Except: 2008-01; 2008 all are ISO8601 compliant	{'value': '2023-12-01'}	investigation				datetime	True	False				
ethical_id	ethical permit or approval ID	MIXS:999999906		The permissions code(s) or ID(s) provided by the authority associated with  approval of the analysis of this particular sample	{'value': 'DE-123-JK'}	investigation	ethics	True		string	True	False				
experimental_procedures	experimental procedures	MIXS:999999907		Provide a DOI or URL to refer to the paper where the nucleic acid extraction,  library construction, and other procedures are explained in more details	{'value': 'doi:10.1093/nar/gkr771'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
lib_concentration	library concentration	MIXS:999999908		Concentration of library in copies per µl, as inferred by qPCR	{'value': '123000000'}	sequencing		True		string			{float} {unit}		measurement value in number of copies per µl	
lib_index_polymerase	library index polymerase	MIXS:999999909		The of DNA polymerase enzyme used for indexing DNA libraries	{'value': 'Agilent PfuTurbo Cx HotStart'}	sequencing	polymerase|library|preparation			string	True	False	{text}		name of polymerase used during library indexing	
lib_preparation_protocol	library preparation protocols	MIXS:999999907		Citation(s) for the DNA library preparation protocol	{'value': 'doi:10.1093/nar/gkr771'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
lib_reamplification_polymerase	library reamplification polymerase	MIXS:999999909		The name of polymerase enzyme used for reamplifying DNA libraries	{'value': 'KAPA HiFi HotStart Uracil+'}	sequencing	polymerase|library|preparation			string	True	False	{text}		name of polymerase used during library indexing	
lib_type	library type	MIXS:999999910		The type of library created. Amplicon based or non-amplicon based.  Amplicon based, is a library that result in rather short DNA fragments  while non-amplicon-based refers to non targeted approach.	{'value': 'amplicon'}	sequencing	library|preparation			LibTypeEnum		False				
neg_cont_status	negative control status	MIXS:999999911		Specify whether the sample is a negative control or not.	{'value': 'True'}	nucleic acid sequence source	control			boolean						
num_capture_reamp_cycles	number of reamplification cycles after capture	MIXS:999999912		Number of amplification cycles after capture enrichment	{'value': '12'}	sequencing				integer						
num_reamp_cycles	number of reamplification cycles	MIXS:999999913		Number of amplification cycles after library indexing PCR	{'value': '12'}	sequencing				integer						
preservational_treatment	preservational treatment	MIXS:999999914		Description of any treatment applied to samples for the purpose of  maximising collection preservation that may influence downstream  DNA recovery or library construction, such as storage fluid or  reconstructive glue	{'value': 'stored in formalin'}	nucleic acid sequence source	ancient	True		string			{text}			
prev_pubs	previous publications	MIXS:999999915		Any publications that report data from the same body/skeleton/individual	{'value': 'doi:10.1016/j.jas.2015.02.0181'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
recovery_date	date of retrieval from depositional context	MIXS:9999999916		Date of excavation or retrieval from burial or depositional context,  if known	{'value': '2023'}	nucleic acid sequence source				datetime	True	False				year
samp_decontam_pretreat	sample decontamination pretreatment	MIXS:999999917		Method(s) employed for surface decontamination of samples of external  modern DNA; Treatment used on the samples. Depends on the sample type.  More relevant for bones than environmental samples. E.g. buffers, EDTA, etc.	{'value': 'doi:10.1016/j.jas.2015.02.0181'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
sample_age	sample age	MIXS:9999999918		The approximate date that individual was living and then died, or the  sample was exposed to the  surface. Typically inferred from archaeological  material, or biological material associated with a sediment, with  radiocarbon dating and other chronometric methods. Should be midpoint of  calibrated radiocarbon age.						string	True	False	{integer} {unit}			
sample_age_inference_methods	sample age inference methods	MIXS:999999919		The method used to infer the sample age. Method (14C, OLS, etc.)  and associated information (lab code, etc).	{'value': 'radiocarbon dating, calibrated with OxCal v4.3'}	investigation		True		string	True	False	{text}			
sample_alt_lab_ids	alternative sample IDs	MIXS:999999920		Any alternate sample IDs used in by the research group publishing the  paper or other groups. If known.	{'value': 'ABC_24'}	investigation		True		string			{text}			
site_type	site type	MIXS:999999921		The type of site the sediment cores where taken. E.g. ocean, marine,  freshwater, brackish, ice caves, caves.	{'value': 'burial'}	nucleic acid sequence source				string			{text}			
storage_conditions	storage conditions	MIXS:999999922		General conditions in which the sample was stored in long-term collection storage, that may influenced DNA recovery or library construction. For  example, specify temperature, humidity, presence of microbial overgrowth  etc..	{'value': 'climate-controlled'}	nucleic acid sequence source				string			{text}			
